Pattern,Subject,Predicate,Object,Axioms applicable,Rationale,Symmetry/Asymmetry (S/A),Transitivity (T/F),Reflexivity/irreflexivity (R/I)
Evaluation,EvaluationAssessmentExercise,evaluatesTopicAwarenessOf,Topic,"4, 5, 7","Requires evaluatesTopicAwarenessOf to connect assessment exercises to topics, with Topic as the allowed value type and at least one evaluated topic for each assessment exercise.",A,F,I
Evaluation,EvaluationAssessmentExercise,hasWorkloadLevel,WorkloadLevel,"5, 7, 12","Requires assessment exercises to have a workload classification, constrains that value to WorkloadLevel, and allows exactly one workload level per assessment exercise.",A,F,I
Evaluation,EvaluationAssessmentExercise,usesTechnique,EvaluationTechnique,"5, 7","Requires assessment exercises to use at least one evaluation technique, with each usesTechnique value constrained to EvaluationTechnique.",A,F,I
Evaluation,EvaluationMetric,asString,rdfs:Literal,"7, 12",Requires evaluation metrics to have a literal string representation and allows at most one asString value per evaluation metric.,A,F,I
Evaluation,EvaluationResult,hasUnit,EvaluationMetric,"3, 5, 7","Requires any resource using hasUnit to be treated as an EvaluationResult, constrains the unit to EvaluationMetric, and requires each evaluation result to have at least one unit.",A,F,I
Evaluation,EvaluationResult,hasValue,rdfs:Literal,"5, 7","Requires evaluation results to have at least one literal value, with each hasValue value constrained to rdfs:Literal.",A,F,I
Evaluation,EvaluationResult,rdfs:subClassOf,Response,1,Requires EvaluationResult to be a specialized kind of Response so evaluation results inherit response semantics.,A,T,R
Evaluation,EvaluationTechnique,assessesLearningFeedback,LearningFeedback,"4, 5, 17","Requires assessesLearningFeedback links to identify evaluation techniques when they point to learning feedback, constrains values to LearningFeedback, and permits the relation when feedback assessment is relevant.",A,F,I
Evaluation,EvaluationTechnique,assessesLearningObjective,LearningObjective,"4, 5, 17","Requires assessesLearningObjective links to identify evaluation techniques when they point to learning objectives, constrains values to LearningObjective, and permits the relation when objective assessment is relevant.",A,F,I
Evaluation,EvaluationTechnique,hasEvaluationMetric,EvaluationMetric,"3, 5, 7","Requires any resource using hasEvaluationMetric to be treated as an EvaluationTechnique, constrains values to EvaluationMetric, and requires each evaluation technique to have at least one metric.",A,F,I
Evaluation,EvaluationTechnique,hasEvaluationTechniqueType,EvaluationTechniqueType,"4, 5, 7","Requires hasEvaluationTechniqueType links to classify evaluation techniques by controlled technique types, constrains values to EvaluationTechniqueType, and requires each evaluation technique to have at least one type.",A,F,I
Evaluation,EvaluationTechnique,provideFeedback,Response,"4, 17","Requires provideFeedback links to identify evaluation techniques when they produce responses, and permits feedback responses without requiring every evaluation technique to provide one.",A,F,I
Evaluation,LearningFeedback,affectsStrategy,LearningStrategy,"5, 17","Requires learning feedback to be able to affect learning strategies when relevant, with each affectsStrategy value constrained to LearningStrategy.",A,F,I
Evaluation,LearningFeedback,hasLearningFeedbackType,LearningFeedbackType,"3, 5, 7, 12","Requires any resource using hasLearningFeedbackType to be treated as LearningFeedback, constrains values to LearningFeedbackType, requires each feedback item to have a type, and allows exactly one feedback type per feedback item.",A,F,I
Evaluation,LearningFeedback,rdfs:subClassOf,Response,1,Requires LearningFeedback to be a specialized kind of Response so feedback inherits response semantics.,A,T,R
Evaluation,Media,hasAssessmentExercise,EvaluationAssessmentExercise,"5, 17","Requires media resources to be able to include assessment exercises when relevant, with each hasAssessmentExercise value constrained to EvaluationAssessmentExercise.",A,F,I
Evaluation,Module,hasAssessmentExercise,EvaluationAssessmentExercise,"5, 7","Requires modules to include at least one assessment exercise, with each hasAssessmentExercise value constrained to EvaluationAssessmentExercise.",A,F,I
Evaluation,Response,affectsAwarenessObservation,AwarenessObservation,"3, 5, 17","Requires any resource using affectsAwarenessObservation to be treated as a Response, constrains values to AwarenessObservation, and permits responses to affect awareness observations when relevant.",A,F,I
Evaluation,Response,hasResponseTime,TemporalExtent,"3, 5, 12, 17","Requires any resource using hasResponseTime to be treated as a Response, constrains values to TemporalExtent, permits response timing when available, and allows at most one response time per response.",A,F,I
Evaluation,Response,hasSource,Source,"3, 5, 7, 12","Requires any resource using hasSource to be treated as a Response, constrains values to Source, requires each response to have a source, and allows exactly one source per response.",A,F,I
Evaluation,Source,rdfs:subClassOf,Agent,1,Requires Source to be a specialized kind of Agent so response provenance is tied to an agentive origin.,A,T,R
Learner Model,AccessibilityChallenge,rdfs:subClassOf,LearningChallenge,1,Requires AccessibilityChallenge to be a specialized kind of LearningChallenge so accessibility needs are represented as learner challenges.,A,T,R
Learner Model,AwarenessObservation,atTime,TemporalExtent,"3, 5, 12, 17","Requires any resource using atTime to be treated as an AwarenessObservation, constrains values to TemporalExtent, permits timestamping when available, and allows at most one time value per awareness observation.",A,F,I
Learner Model,AwarenessObservation,hasAwarenessLevel,AwarenessLevel,"3, 5, 7, 12","Requires any resource using hasAwarenessLevel to be treated as an AwarenessObservation, constrains values to AwarenessLevel, requires each awareness observation to have a level, and allows exactly one level per observation.",A,F,I
Learner Model,AwarenessObservation,onSkill,Skill,"3, 5, 17","Requires any resource using onSkill to be treated as an AwarenessObservation, constrains values to Skill, and permits skill-scoped awareness observations when relevant.",A,F,I
Learner Model,AwarenessObservation,onTopic,Topic,"3, 5, 17","Requires any resource using onTopic to be treated as an AwarenessObservation, constrains values to Topic, and permits topic-scoped awareness observations when relevant.",A,F,I
Learner Model,CurrentAwarenessObservation,rdfs:subClassOf,AwarenessObservation,1,Requires CurrentAwarenessObservation to be a specialized kind of AwarenessObservation for representing the active awareness state.,A,T,R
Learner Model,Learner,hasAwarenessObservation,AwarenessObservation,"3, 5, 17","Requires any resource using hasAwarenessObservation to be treated as a Learner, constrains values to AwarenessObservation, and permits learners to have awareness observations when available.",A,F,I
Learner Model,Learner,hasGoal,LearnerGoal,"3, 5, 17","Requires any resource using hasGoal to be treated as a Learner, constrains values to LearnerGoal, and permits learners to have goals when available.",A,F,I
Learner Model,Learner,hasLearnerPreference,LearnerPreference,"3, 5, 17","Requires any resource using hasLearnerPreference to be treated as a Learner, constrains values to LearnerPreference, and permits learners to have preferences when available.",A,F,I
Learner Model,Learner,hasLearningChallenge,LearningChallenge,"3, 5, 17","Requires any resource using hasLearningChallenge to be treated as a Learner, constrains values to LearningChallenge, and permits learners to have learning challenges when available.",A,F,I
Learner Model,Learner,hasSituation,LearningSituation,"3, 5, 7","Requires any resource using hasSituation to be treated as a Learner, constrains values to LearningSituation, and requires each learner to have at least one learning situation.",A,F,I
Learner Model,Learner,rdfs:subClassOf,Agent,1,Requires Learner to be a specialized kind of Agent so learners inherit agent semantics.,A,T,R
Learner Model,LearnerGoal,targetsSkill,Skill,"3, 5, 7","Requires any resource using targetsSkill to be treated as a LearnerGoal, constrains values to Skill, and requires each learner goal to target at least one skill.",A,F,I
Learner Model,LearningObjective,developsSkill,Skill,"3, 5, 7","Requires any resource using developsSkill to be treated as a LearningObjective, constrains values to Skill, and requires each learning objective to develop at least one skill.",A,F,I
Learner Model,LearningSituation,scopes,Persona,"3, 5, 17","Requires any resource using scopes to be treated as a LearningSituation, constrains values to Persona, and permits learning situations to be scoped by persona when relevant.",A,F,I
Learner Model,Skill,requiresTopic,Topic,"3, 5, 7","Requires any resource using requiresTopic to be treated as a Skill, constrains values to Topic, and requires each skill to require at least one topic.",A,F,I
Learner Model,LearningSituation,requiresPriorTopicKnowledge,Topic,"3, 5, 17","Requires any resource using requiresPriorTopicKnowledge to be treated as a LearningSituation, constrains values to Topic, and permits learning situations to specify prior topic knowledge when relevant.",A,F,I
Learner Model; Learning Objective,LearningObjective,worksOnSituation,LearningSituation,"3, 5, 17","Requires any resource using worksOnSituation to be treated as a LearningObjective, constrains values to LearningSituation, and permits learning objectives to address learning situations when relevant.",A,F,I
Learning Objective,Media,supportsLearningObjective,LearningObjective,"3, 5, 7","Requires any resource using supportsLearningObjective to be treated as Media, constrains values to LearningObjective, and requires each media resource to support at least one learning objective.",A,F,I
Learning Objective,Module,hasLearningObjective,LearningObjective," 5, 7","Requires modules to have at least one learning objective, with each hasLearningObjective value constrained to LearningObjective.",A,F,I
Learning Objective,LearningObjective,hasDescription,xsd:string,"5, 12, 17","Requires learning objectives to be able to carry a textual description when available, constrains description values to xsd:string, and allows at most one description per learning objective.",A,F,I
Learning Objective,LearningObjective,hasName,xsd:string,"5, 7, 12","Requires learning objectives to have a name, constrains name values to xsd:string, and allows at most one name per learning objective.",A,F,I
Learning Objective,LearningStrategy,hasDescription,xsd:string,"5, 12, 17","Requires learning strategies to be able to carry a textual description when available, constrains description values to xsd:string, and allows at most one description per learning strategy.",A,F,I
Learning Objective,LearningStrategy,hasLearningObjective,LearningObjective,"5, 7","Requires learning strategies to include at least one learning objective, with each hasLearningObjective value constrained to LearningObjective.",A,F,I
Learning Objective,LearningStrategy,hasName,xsd:string,"5, 7, 12","Requires learning strategies to have a name, constrains name values to xsd:string, and allows exactly one name per learning strategy.",A,F,I
Learning Objective,LearningStrategy,hasPedagogicalTechnique,PedagogicalTechnique,"3, 5, 7","Requires any resource using hasPedagogicalTechnique to be treated as a LearningStrategy, constrains values to PedagogicalTechnique, and requires each learning strategy to include at least one pedagogical technique.",A,F,I
Learning Objective; Pedagogical Framework,LearningObjective,alignedWith,PedagogicalElement,"3, 5, 17","Requires any resource using alignedWith to be treated as a LearningObjective, constrains values to PedagogicalElement, and permits learning objectives to align with pedagogical elements when relevant.",A,F,I
Learning Objective; Pedagogical Framework,PedagogicalTechnique,targetsLearningObjective,LearningObjective,"3, 5, 17","Requires any resource using targetsLearningObjective to be treated as a PedagogicalTechnique, constrains values to LearningObjective, and permits techniques to target learning objectives when relevant.",A,F,I
Pedagogical Framework,FirstPedagogicalElement,rdfs:subClassOf,PedagogicalElement,1,Requires FirstPedagogicalElement to be a specialized kind of PedagogicalElement for identifying the start of a pedagogical sequence.,A,T,R
Pedagogical Framework,LastPedagogicalElement,rdfs:subClassOf,PedagogicalElement,1,Requires LastPedagogicalElement to be a specialized kind of PedagogicalElement for identifying the end of a pedagogical sequence.,A,T,R
Pedagogical Framework,PedagogicalElement,hasDescription,xsd:string,"5, 12, 17","Requires pedagogical elements to be able to carry a textual description when available, constrains description values to xsd:string, and allows at most one description per pedagogical element.",A,F,I
Pedagogical Framework,PedagogicalElement,hasName,xsd:string,"5, 7, 12","Requires pedagogical elements to have a name, constrains name values to xsd:string, and allows exactly one name per pedagogical element.",A,F,I
Pedagogical Framework,PedagogicalElement,hasNextPedagogicalElement,PedagogicalElement,"3, 5, 17","Requires any resource using hasNextPedagogicalElement to be treated as a PedagogicalElement, constrains values to PedagogicalElement, and permits sequence links to the next element when relevant.",A,F,I
Pedagogical Framework,PedagogicalElement,hasPreviousPedagogicalElement,PedagogicalElement,"3, 5, 17","Requires any resource using hasPreviousPedagogicalElement to be treated as a PedagogicalElement, constrains values to PedagogicalElement, and permits sequence links to the previous element when relevant.",A,F,I
Pedagogical Framework,PedagogicalElement,isElementOf,PedagogicalFramework,"3, 5, 17","Requires any resource using isElementOf to be treated as a PedagogicalElement, constrains values to PedagogicalFramework, and permits elements to be assigned to frameworks when relevant.",A,F,I
Pedagogical Framework,PedagogicalFramework,hasDescription,xsd:string,"5, 12, 17","Requires pedagogical frameworks to be able to carry a textual description when available, constrains description values to xsd:string, and allows at most one description per framework.",A,F,I
Pedagogical Framework,PedagogicalFramework,hasElement,PedagogicalElement,"3, 5, 7","Requires any resource using hasElement to be treated as a PedagogicalFramework, constrains values to PedagogicalElement, and requires each pedagogical framework to have at least one element.",A,F,I
Pedagogical Framework,PedagogicalFramework,hasName,xsd:string,"5, 7, 12","Requires pedagogical frameworks to have a name, constrains name values to xsd:string, and allows exactly one name per framework.",A,F,I
Pedagogical Framework,PedagogicalObjective,hasDescription,xsd:string,"5, 12, 17","Requires pedagogical objectives to be able to carry a textual description when available, constrains description values to xsd:string, and allows at most one description per pedagogical objective.",A,F,I
Pedagogical Framework,PedagogicalObjective,hasName,xsd:string,"5, 7, 12","Requires pedagogical objectives to have a name, constrains name values to xsd:string, and allows exactly one name per pedagogical objective.",A,F,I
Pedagogical Framework,PedagogicalTechnique,hasDescription,xsd:string,"5, 12, 17","Requires pedagogical techniques to be able to carry a textual description when available, constrains description values to xsd:string, and allows at most one description per pedagogical technique.",A,F,I
Pedagogical Framework,PedagogicalTechnique,hasName,xsd:string,"5, 7, 12","Requires pedagogical techniques to have a name, constrains name values to xsd:string, and allows exactly one name per pedagogical technique.",A,F,I
Pedagogical Framework,PedagogicalTechnique,servesPedagogicalObjective,PedagogicalObjective,"3, 5, 7","Requires any resource using servesPedagogicalObjective to be treated as a PedagogicalTechnique, constrains values to PedagogicalObjective, and requires each pedagogical technique to serve at least one pedagogical objective.",A,F,I
Pedagogical Framework,PedagogicalTechnique,supportsPedagogicalElement,PedagogicalElement,"3, 5, 17","Requires any resource using supportsPedagogicalElement to be treated as a PedagogicalTechnique, constrains values to PedagogicalElement, and permits techniques to support pedagogical elements when relevant.",A,F,I